DEBUG - start
DEBUG - matplotlib data path: C:\Users\tatsa\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\mpl-data
DEBUG - CONFIGDIR=C:\Users\tatsa\.matplotlib
DEBUG - interactive is False
DEBUG - platform is win32
DEBUG - CACHEDIR=C:\Users\tatsa\.matplotlib
DEBUG - Using fontManager instance from C:\Users\tatsa\.matplotlib\fontlist-v330.json
DEBUG - 2014-10-03 - Close price: 17.013999938964844
INFO - 2014-10-03 - Sell @ 17.013999938964844
DEBUG - 2014-10-06 - Close price: 17.374666213989258
INFO - 2014-10-06 - Sell @ 17.374666213989258
DEBUG - 2014-10-07 - Close price: 17.30466651916504
DEBUG - 2014-10-08 - Close price: 17.28533363342285
INFO - 2014-10-08 - Buy @ 17.28533363342285
DEBUG - 2014-10-09 - Close price: 17.134000778198242
INFO - 2014-10-09 - Buy @ 17.134000778198242
DEBUG - 2014-10-10 - Close price: 15.793999671936035
INFO - 2014-10-10 - Buy @ 15.793999671936035
DEBUG - 2014-10-13 - Close price: 14.97266674041748
INFO - 2014-10-13 - Buy @ 14.97266674041748
DEBUG - 2014-10-14 - Close price: 15.137332916259766
DEBUG - 2014-10-15 - Close price: 15.313332557678224
INFO - 2014-10-15 - Sell @ 15.313332557678224
DEBUG - 2014-10-16 - Close price: 15.09000015258789
DEBUG - 2014-10-17 - Close price: 15.165332794189451
DEBUG - 2014-10-20 - Close price: 15.364666938781738
INFO - 2014-10-20 - Sell @ 15.364666938781738
DEBUG - 2014-10-21 - Close price: 15.689332962036133
INFO - 2014-10-21 - Sell @ 15.689332962036133
DEBUG - 2014-10-22 - Close price: 15.40666675567627
DEBUG - 2014-10-23 - Close price: 15.685999870300291
DEBUG - 2014-10-24 - Close price: 15.682666778564451
DEBUG - 2014-10-27 - Close price: 14.777999877929688
INFO - 2014-10-27 - Buy @ 14.777999877929688
DEBUG - 2014-10-28 - Close price: 16.184667587280273
DEBUG - 2014-10-29 - Close price: 15.873332977294922
DEBUG - 2014-10-30 - Close price: 15.910667419433594
DEBUG - 2014-10-31 - Close price: 16.113332748413086
INFO - 2014-10-31 - Sell @ 16.113332748413086
DEBUG - 2014-11-03 - Close price: 16.172666549682617
INFO - 2014-11-03 - Sell @ 16.172666549682617
DEBUG - 2014-11-04 - Close price: 15.928667068481444
DEBUG - 2014-11-05 - Close price: 15.39799976348877
INFO - 2014-11-05 - Buy @ 15.39799976348877
DEBUG - 2014-11-06 - Close price: 16.08133316040039
DEBUG - 2014-11-07 - Close price: 16.01333236694336
DEBUG - 2014-11-10 - Close price: 16.1286678314209
DEBUG - 2014-11-11 - Close price: 16.738666534423828
INFO - 2014-11-11 - Sell @ 16.738666534423828
DEBUG - 2014-11-12 - Close price: 16.606666564941406
DEBUG - 2014-11-13 - Close price: 16.780000686645508
DEBUG - 2014-11-14 - Close price: 17.245332717895508
INFO - 2014-11-14 - Sell @ 17.245332717895508
DEBUG - 2014-11-17 - Close price: 16.93199920654297
DEBUG - 2014-11-18 - Close price: 17.18000030517578
DEBUG - 2014-11-19 - Close price: 16.516000747680664
DEBUG - 2014-11-20 - Close price: 16.58066749572754
DEBUG - 2014-11-21 - Close price: 16.185333251953125
DEBUG - 2014-11-24 - Close price: 16.447999954223633
DEBUG - 2014-11-25 - Close price: 16.53933334350586
INFO - 2014-11-25 - Sell @ 16.53933334350586
DEBUG - 2014-11-26 - Close price: 16.562667846679688
INFO - 2014-11-26 - Sell @ 16.562667846679688
DEBUG - 2014-11-28 - Close price: 16.301332473754883
DEBUG - 2014-12-01 - Close price: 15.442667007446287
INFO - 2014-12-01 - Buy @ 15.442667007446287
DEBUG - 2014-12-02 - Close price: 15.428667068481444
INFO - 2014-12-02 - Buy @ 15.428667068481444
DEBUG - 2014-12-03 - Close price: 15.286666870117188
INFO - 2014-12-03 - Buy @ 15.286666870117188
DEBUG - 2014-12-04 - Close price: 15.218667030334473
INFO - 2014-12-04 - Buy @ 15.218667030334473
DEBUG - 2014-12-05 - Close price: 14.913999557495115
INFO - 2014-12-05 - Buy @ 14.913999557495115
DEBUG - 2014-12-08 - Close price: 14.290666580200195
INFO - 2014-12-08 - Buy @ 14.290666580200195
DEBUG - 2014-12-09 - Close price: 14.459333419799805
DEBUG - 2014-12-10 - Close price: 13.989333152770996
DEBUG - 2014-12-11 - Close price: 13.925333023071287
INFO - 2014-12-11 - Buy @ 13.925333023071287
DEBUG - 2014-12-12 - Close price: 13.800000190734863
INFO - 2014-12-12 - Buy @ 13.800000190734863
DEBUG - 2014-12-15 - Close price: 13.602666854858398
INFO - 2014-12-15 - Buy @ 13.602666854858398
DEBUG - 2014-12-16 - Close price: 13.187333106994627
INFO - 2014-12-16 - Buy @ 13.187333106994627
DEBUG - 2014-12-17 - Close price: 13.721332550048828
DEBUG - 2014-12-18 - Close price: 14.550666809082031
INFO - 2014-12-18 - Sell @ 14.550666809082031
DEBUG - 2014-12-19 - Close price: 14.619333267211914
INFO - 2014-12-19 - Sell @ 14.619333267211914
DEBUG - 2014-12-22 - Close price: 14.84000015258789
INFO - 2014-12-22 - Sell @ 14.84000015258789
DEBUG - 2014-12-23 - Close price: 14.731332778930664
DEBUG - 2014-12-24 - Close price: 14.817333221435549
DEBUG - 2014-12-26 - Close price: 15.187999725341797
INFO - 2014-12-26 - Sell @ 15.187999725341797
DEBUG - 2014-12-29 - Close price: 15.047332763671877
DEBUG - 2014-12-30 - Close price: 14.815333366394045
INFO - 2014-12-30 - Buy @ 14.815333366394045
DEBUG - 2014-12-31 - Close price: 14.827333450317385
DEBUG - 2015-01-02 - Close price: 14.620667457580566
DEBUG - 2015-01-05 - Close price: 14.005999565124512
INFO - 2015-01-05 - Buy @ 14.005999565124512
DEBUG - 2015-01-06 - Close price: 14.085332870483398
DEBUG - 2015-01-07 - Close price: 14.063332557678224
DEBUG - 2015-01-08 - Close price: 14.041333198547363
INFO - 2015-01-08 - Buy @ 14.041333198547363
DEBUG - 2015-01-09 - Close price: 13.77733325958252
INFO - 2015-01-09 - Buy @ 13.77733325958252
DEBUG - 2015-01-12 - Close price: 13.480667114257812
INFO - 2015-01-12 - Buy @ 13.480667114257812
DEBUG - 2015-01-13 - Close price: 13.616666793823242
DEBUG - 2015-01-14 - Close price: 12.845999717712402
DEBUG - 2015-01-15 - Close price: 12.791333198547363
INFO - 2015-01-15 - Buy @ 12.791333198547363
DEBUG - 2015-01-16 - Close price: 12.871333122253418
DEBUG - 2015-01-20 - Close price: 12.795332908630373
DEBUG - 2015-01-21 - Close price: 13.104666709899902
DEBUG - 2015-01-22 - Close price: 13.441332817077637
INFO - 2015-01-22 - Sell @ 13.441332817077637
DEBUG - 2015-01-23 - Close price: 13.419333457946776
DEBUG - 2015-01-26 - Close price: 13.770000457763672
DEBUG - 2015-01-27 - Close price: 13.732000350952148
DEBUG - 2015-01-28 - Close price: 13.291333198547363
INFO - 2015-01-28 - Buy @ 13.291333198547363
DEBUG - 2015-01-29 - Close price: 13.68000030517578
DEBUG - 2015-01-30 - Close price: 13.57333278656006
DEBUG - 2015-02-02 - Close price: 14.062666893005373
DEBUG - 2015-02-03 - Close price: 14.557332992553713
INFO - 2015-02-03 - Sell @ 14.557332992553713
DEBUG - 2015-02-04 - Close price: 14.56999969482422
INFO - 2015-02-04 - Sell @ 14.56999969482422
DEBUG - 2015-02-05 - Close price: 14.732666969299316
INFO - 2015-02-05 - Sell @ 14.732666969299316
DEBUG - 2015-02-06 - Close price: 14.490667343139648
DEBUG - 2015-02-09 - Close price: 14.498666763305664
DEBUG - 2015-02-10 - Close price: 14.419333457946776
DEBUG - 2015-02-11 - Close price: 14.186667442321776
INFO - 2015-02-11 - Buy @ 14.186667442321776
DEBUG - 2015-02-12 - Close price: 13.525333404541016
INFO - 2015-02-12 - Buy @ 13.525333404541016
DEBUG - 2015-02-13 - Close price: 13.584667205810549
DEBUG - 2015-02-17 - Close price: 13.623332977294922
INFO - 2015-02-17 - Sell @ 13.623332977294922
DEBUG - 2015-02-18 - Close price: 13.630666732788086
INFO - 2015-02-18 - Sell @ 13.630666732788086
DEBUG - 2015-02-19 - Close price: 14.11400032043457
INFO - 2015-02-19 - Sell @ 14.11400032043457
DEBUG - 2015-02-20 - Close price: 14.473999977111816
INFO - 2015-02-20 - Sell @ 14.473999977111816
DEBUG - 2015-02-23 - Close price: 13.822667121887209
DEBUG - 2015-02-24 - Close price: 13.607333183288574
INFO - 2015-02-24 - Buy @ 13.607333183288574
DEBUG - 2015-02-25 - Close price: 13.583999633789062
INFO - 2015-02-25 - Buy @ 13.583999633789062
DEBUG - 2015-02-26 - Close price: 13.812666893005373
DEBUG - 2015-02-27 - Close price: 13.555999755859377
DEBUG - 2015-03-02 - Close price: 13.155332565307615
INFO - 2015-03-02 - Buy @ 13.155332565307615
DEBUG - 2015-03-03 - Close price: 13.303999900817873
DEBUG - 2015-03-04 - Close price: 13.496000289916992
INFO - 2015-03-04 - Sell @ 13.496000289916992
DEBUG - 2015-03-05 - Close price: 13.375332832336426
DEBUG - 2015-03-06 - Close price: 12.925333023071287
INFO - 2015-03-06 - Buy @ 12.925333023071287
DEBUG - 2015-03-09 - Close price: 12.725333213806152
INFO - 2015-03-09 - Buy @ 12.725333213806152
DEBUG - 2015-03-10 - Close price: 12.687999725341797
INFO - 2015-03-10 - Buy @ 12.687999725341797
DEBUG - 2015-03-11 - Close price: 12.916000366210938
DEBUG - 2015-03-12 - Close price: 12.73799991607666
DEBUG - 2015-03-13 - Close price: 12.57866668701172
INFO - 2015-03-13 - Buy @ 12.57866668701172
DEBUG - 2015-03-16 - Close price: 13.046667098999023
DEBUG - 2015-03-17 - Close price: 12.982000350952148
DEBUG - 2015-03-18 - Close price: 13.380666732788086
DEBUG - 2015-03-19 - Close price: 13.043333053588867
DEBUG - 2015-03-20 - Close price: 13.20533275604248
DEBUG - 2015-03-23 - Close price: 13.308667182922363
INFO - 2015-03-23 - Sell @ 13.308667182922363
DEBUG - 2015-03-24 - Close price: 13.447999954223633
INFO - 2015-03-24 - Sell @ 13.447999954223633
DEBUG - 2015-03-25 - Close price: 12.953332901000977
DEBUG - 2015-03-26 - Close price: 12.694000244140623
INFO - 2015-03-26 - Buy @ 12.694000244140623
DEBUG - 2015-03-27 - Close price: 12.333333015441896
INFO - 2015-03-27 - Buy @ 12.333333015441896
DEBUG - 2015-03-30 - Close price: 12.704667091369627
DEBUG - 2015-03-31 - Close price: 12.584667205810549
